i0,i1,i2,o0,o1,o2
108,-6,-153,108,0,0
-24,95,145,0,95,145
181,60,109,181,60,109
-98,193,-106,0,193,0
-151,-99,-162,0,0,0
181,-88,42,181,0,42
177,-141,192,177,0,192
-141,131,58,0,131,58
-8,95,97,0,95,97
182,66,-11,182,66,0
185,128,50,185,128,50
-181,-37,-136,0,0,0
-167,132,-65,0,132,0
-100,119,-114,0,119,0
-148,-44,167,0,0,167
-31,-2,-59,0,0,0
41,-180,-194,41,0,0
-87,96,15,0,96,15
-38,-161,-141,0,0,0
-18,-178,-103,0,0,0
105,67,41,105,67,41
-43,78,4,0,78,4
32,-72,114,32,0,114
-66,39,61,0,39,61
-122,25,189,0,25,189
-58,-27,132,0,0,132
-72,110,-155,0,110,0
168,197,176,168,197,176
76,-65,-75,76,0,0
175,-95,-10,175,0,0
82,-98,96,82,0,96
-9,151,142,0,151,142
-190,-92,-49,0,0,0
-177,-165,135,0,0,135
79,-171,-23,79,0,0
-49,10,-193,0,10,0
-135,20,-59,0,20,0
170,99,163,170,99,163
115,192,-94,115,192,0
164,-171,10,164,0,10
44,-9,85,44,0,85
49,-119,66,49,0,66
-70,141,192,0,141,192
-175,-131,-124,0,0,0
-143,-48,161,0,0,161
73,5,12,73,5,12
-67,76,-52,0,76,0
-133,174,150,0,174,150
-143,-1,-18,0,0,0
190,-76,188,190,0,188
-137,129,16,0,129,16
56,82,30,56,82,30
46,-122,51,46,0,51
70,-110,-6,70,0,0
-195,-60,-125,0,0,0
31,47,-9,31,47,0
-197,-27,-111,0,0,0
-136,-27,-35,0,0,0
-177,-199,-16,0,0,0
139,-56,53,139,0,53
-108,-77,-153,0,0,0
-95,108,-177,0,108,0
154,-53,149,154,0,149
-95,56,-102,0,56,0
168,181,97,168,181,97
122,187,-182,122,187,0
69,-157,-48,69,0,0
152,98,134,152,98,134
126,16,34,126,16,34
-176,-113,97,0,0,97
141,24,-192,141,24,0
107,12,3,107,12,3
193,174,123,193,174,123
79,-14,-132,79,0,0
40,171,-150,40,171,0
103,167,59,103,167,59
141,112,46,141,112,46
-90,190,82,0,190,82
-103,119,195,0,119,195
-74,103,44,0,103,44
-179,22,-128,0,22,0
-113,-165,-73,0,0,0
38,-127,67,38,0,67
11,26,-78,11,26,0
99,192,-157,99,192,0
-39,-146,-24,0,0,0
48,-46,48,48,0,48
3,-41,-144,3,0,0
-138,63,111,0,63,111
-124,34,-27,0,34,0
-77,1,164,0,1,164
-59,163,126,0,163,126
-117,-21,-27,0,0,0
182,99,83,182,99,83
-107,-90,111,0,0,111
120,-176,-78,120,0,0
-69,-19,62,0,0,62
-148,153,167,0,153,167
-47,189,140,0,189,140
-175,-121,128,0,0,128
135,-127,-3,135,0,0
107,-179,85,107,0,85
155,82,-154,155,82,0
-54,-62,-58,0,0,0
-163,-128,-75,0,0,0
172,156,-140,172,156,0
90,-194,-63,90,0,0
-51,135,137,0,135,137
184,26,-157,184,26,0
-77,-199,23,0,0,23
85,-161,-11,85,0,0
50,-88,58,50,0,58
-37,-159,-75,0,0,0
56,-139,-139,56,0,0
-180,-73,103,0,0,103
114,-138,109,114,0,109
90,-13,-9,90,0,0
-61,-5,65,0,0,65
-72,43,-194,0,43,0
2,-80,68,2,0,68
-114,191,42,0,191,42
-173,5,136,0,5,136
22,34,183,22,34,183
142,-95,-116,142,0,0
70,140,82,70,140,82
-19,-195,-194,0,0,0
-96,-113,-69,0,0,0
55,-48,93,55,0,93
-75,-4,167,0,0,167
-119,-166,51,0,0,51
143,62,110,143,62,110
125,-159,-67,125,0,0
172,-100,-171,172,0,0
-164,122,-194,0,122,0
-62,-25,90,0,0,90
-185,-23,99,0,0,99
30,-194,-65,30,0,0
104,55,-86,104,55,0
38,95,-94,38,95,0
-48,19,-135,0,19,0
-173,131,74,0,131,74
87,-96,-65,87,0,0
46,-123,32,46,0,32
150,-175,92,150,0,92
85,67,-144,85,67,0
-77,93,-10,0,93,0
-93,3,4,0,3,4
196,-17,-118,196,0,0
30,127,-26,30,127,0
-91,-98,-140,0,0,0
35,-145,104,35,0,104
-103,191,145,0,191,145
-177,28,112,0,28,112
121,123,-36,121,123,0
53,173,-144,53,173,0
-69,97,-148,0,97,0
-109,127,118,0,127,118
160,139,-66,160,139,0
-127,-182,112,0,0,112
-19,-184,-64,0,0,0
-43,-174,135,0,0,135
16,23,3,16,23,3
67,-10,-165,67,0,0
149,103,92,149,103,92
-199,100,10,0,100,10
135,34,-12,135,34,0
108,58,-58,108,58,0
86,-81,131,86,0,131
163,-131,-108,163,0,0
-183,-119,-140,0,0,0
12,-110,140,12,0,140
-36,-117,198,0,0,198
15,161,-2,15,161,0
164,100,26,164,100,26
-151,145,183,0,145,183
198,-163,158,198,0,158
-7,-139,130,0,0,130
-70,112,15,0,112,15
-133,87,-22,0,87,0
-141,46,36,0,46,36
172,195,-22,172,195,0
-198,-200,-196,0,0,0
-194,-46,-173,0,0,0
-44,-167,-103,0,0,0
-72,67,138,0,67,138
-64,42,-126,0,42,0
194,-3,-126,194,0,0
-136,73,4,0,73,4
-78,97,40,0,97,40
-184,-154,117,0,0,117
-99,145,-78,0,145,0
176,126,26,176,126,26
-37,-32,183,0,0,183
-195,-95,90,0,0,90
-119,69,-136,0,69,0
-120,199,-194,0,199,0
-77,-21,-23,0,0,0
-59,107,-10,0,107,0
184,11,151,184,11,151
150,149,-173,150,149,0
112,-16,178,112,0,178
-185,146,-89,0,146,0
46,-4,-71,46,0,0
91,-120,172,91,0,172
-9,-186,128,0,0,128
-130,29,-155,0,29,0
-8,-114,-78,0,0,0
97,119,185,97,119,185
-147,-134,-108,0,0,0
43,137,155,43,137,155
198,67,188,198,67,188
-53,-39,143,0,0,143
-78,-54,-13,0,0,0
63,-122,-115,63,0,0
127,-3,-118,127,0,0
68,68,44,68,68,44
-191,-102,73,0,0,73
-189,-94,-119,0,0,0
-196,188,-77,0,188,0
-183,118,111,0,118,111
126,62,-161,126,62,0
-57,173,178,0,173,178
194,-118,93,194,0,93
-78,49,57,0,49,57
-98,-29,-71,0,0,0
-2,36,-70,0,36,0
0,11,-194,0,11,0
-118,-113,151,0,0,151
-198,-47,191,0,0,191
73,-185,-154,73,0,0
-188,48,-130,0,48,0
158,75,123,158,75,123
-74,10,-58,0,10,0
-185,10,176,0,10,176
-37,60,60,0,60,60
125,-79,-81,125,0,0
138,86,-138,138,86,0
115,83,173,115,83,173
57,130,136,57,130,136
156,-71,30,156,0,30
-73,67,31,0,67,31
127,-128,-8,127,0,0
-14,188,-94,0,188,0
24,165,122,24,165,122
95,80,131,95,80,131
166,188,-118,166,188,0
184,155,-140,184,155,0
164,89,-167,164,89,0
130,-4,74,130,0,74
-49,182,177,0,182,177
185,46,-33,185,46,0
5,26,-138,5,26,0
164,43,169,164,43,169
-10,-60,-196,0,0,0
82,99,46,82,99,46
-16,55,-177,0,55,0
116,-20,-39,116,0,0
-89,161,-76,0,161,0
-154,56,198,0,56,198
67,26,-160,67,26,0
-125,111,-19,0,111,0
125,-17,-39,125,0,0
-186,-100,-177,0,0,0
-20,170,-87,0,170,0
-4,-163,-6,0,0,0
49,-67,-9,49,0,0
30,179,66,30,179,66
49,154,-197,49,154,0
55,134,108,55,134,108
-9,58,-99,0,58,0
-106,-82,2,0,0,2
158,-150,22,158,0,22
-135,160,-116,0,160,0
124,-189,-78,124,0,0
-94,-117,-191,0,0,0
179,-156,133,179,0,133
-90,165,75,0,165,75
-84,26,-123,0,26,0
108,-77,0,108,0,0
146,-23,-117,146,0,0
191,-123,92,191,0,92
185,97,-16,185,97,0
-86,40,112,0,40,112
149,-55,-130,149,0,0
-166,-85,-197,0,0,0
40,98,-31,40,98,0
17,106,82,17,106,82
-124,-45,195,0,0,195
60,-196,-58,60,0,0
-154,107,139,0,107,139
185,31,3,185,31,3
70,-138,-36,70,0,0
-57,-40,9,0,0,9
-63,-59,132,0,0,132
-55,197,100,0,197,100
74,176,-47,74,176,0
-66,28,156,0,28,156
164,63,19,164,63,19
-21,-26,150,0,0,150
183,-100,-88,183,0,0
-63,-90,-110,0,0,0
47,130,13,47,130,13
36,19,-158,36,19,0
88,111,143,88,111,143
-64,-36,-26,0,0,0
-76,148,-125,0,148,0
-69,-31,-75,0,0,0
-181,-115,119,0,0,119
2,113,35,2,113,35
112,26,111,112,26,111
-138,127,136,0,127,136
47,-134,29,47,0,29
-38,-69,-170,0,0,0
0,105,-135,0,105,0
79,-46,139,79,0,139
187,49,-35,187,49,0
93,29,-95,93,29,0
-159,35,-86,0,35,0
-158,176,-6,0,176,0
178,38,-43,178,38,0
-114,63,-200,0,63,0
-18,-25,-59,0,0,0
188,-164,-83,188,0,0
42,103,113,42,103,113
-43,13,-117,0,13,0
-14,129,-67,0,129,0
89,133,-190,89,133,0
36,68,-47,36,68,0
194,-30,156,194,0,156
48,0,-183,48,0,0
16,-37,-7,16,0,0
78,115,141,78,115,141
133,31,-59,133,31,0
-199,-53,88,0,0,88
-61,-82,27,0,0,27
-65,80,-157,0,80,0
-182,80,103,0,80,103
-19,69,-64,0,69,0
-132,112,166,0,112,166
182,-32,-167,182,0,0
-169,150,16,0,150,16
121,23,-147,121,23,0
-139,-56,77,0,0,77
-179,-104,-39,0,0,0
-34,-43,78,0,0,78
-31,155,49,0,155,49
-27,-108,17,0,0,17
69,-36,145,69,0,145
15,-5,122,15,0,122
136,-63,-63,136,0,0
-39,-122,19,0,0,19
-174,-153,127,0,0,127
-146,157,123,0,157,123
-9,182,196,0,182,196
57,-81,-140,57,0,0
-134,-116,61,0,0,61
-20,135,-154,0,135,0
166,29,-10,166,29,0
-121,78,192,0,78,192
-11,127,71,0,127,71
102,13,-55,102,13,0
130,-84,107,130,0,107
-189,-193,158,0,0,158
143,85,143,143,85,143
-112,-8,94,0,0,94
-19,-189,-106,0,0,0
83,153,198,83,153,198
168,-54,92,168,0,92
116,72,68,116,72,68
6,-2,69,6,0,69
-180,179,156,0,179,156
-195,65,-164,0,65,0
52,-29,-62,52,0,0
-69,34,-149,0,34,0
-94,-165,-12,0,0,0
11,-132,-12,11,0,0
142,0,-141,142,0,0
-90,-196,-112,0,0,0
-89,41,-28,0,41,0
-47,-106,127,0,0,127
-180,158,193,0,158,193
-185,-164,-49,0,0,0
40,51,183,40,51,183
-114,-181,-199,0,0,0
165,-123,129,165,0,129
-4,174,-105,0,174,0
-146,-45,-32,0,0,0
-87,82,-199,0,82,0
-62,-74,39,0,0,39
-163,47,94,0,47,94
-165,-137,192,0,0,192
105,-184,-17,105,0,0
126,-91,-107,126,0,0
-84,77,175,0,77,175
-105,79,-162,0,79,0
-101,17,5,0,17,5
133,38,76,133,38,76
131,122,111,131,122,111
-147,-10,-25,0,0,0
-46,109,182,0,109,182
150,150,-150,150,150,0
-101,25,-28,0,25,0
153,-44,-131,153,0,0
85,-112,-66,85,0,0
26,58,-130,26,58,0
-78,159,-122,0,159,0
-68,-31,-189,0,0,0
74,-10,-27,74,0,0
133,82,110,133,82,110
-196,-78,-8,0,0,0
-146,-88,61,0,0,61
-93,-191,52,0,0,52
18,83,0,18,83,0
196,-69,-89,196,0,0
-132,45,166,0,45,166
110,2,-110,110,2,0
-173,-57,6,0,0,6
-124,117,128,0,117,128
-174,-86,172,0,0,172
-9,30,196,0,30,196
-94,34,-17,0,34,0
-52,146,-74,0,146,0
22,5,-119,22,5,0
114,-3,-26,114,0,0
198,-180,99,198,0,99
-102,192,5,0,192,5
-156,64,-66,0,64,0
-190,-37,-109,0,0,0
-149,-39,-10,0,0,0
70,27,-198,70,27,0
-116,-187,12,0,0,12
-187,181,-104,0,181,0
-132,81,-31,0,81,0
-23,-36,-126,0,0,0
-10,133,101,0,133,101
102,174,7,102,174,7
-107,194,19,0,194,19
82,-42,-16,82,0,0
142,74,-105,142,74,0
-112,95,133,0,95,133
28,-82,-4,28,0,0
80,6,-200,80,6,0
26,88,-190,26,88,0
73,-28,58,73,0,58
196,88,32,196,88,32
-23,-37,-110,0,0,0
-64,49,-141,0,49,0
-1,58,-25,0,58,0
44,138,4,44,138,4
184,-22,24,184,0,24
8,96,140,8,96,140
-99,-68,-106,0,0,0
5,84,16,5,84,16
-182,-187,-26,0,0,0
-99,12,19,0,12,19
156,69,140,156,69,140
-42,62,146,0,62,146
-54,140,-128,0,140,0
133,-75,175,133,0,175
-160,-161,-137,0,0,0
-179,128,-86,0,128,0
-19,-99,188,0,0,188
90,-31,74,90,0,74
-80,-170,148,0,0,148
78,26,100,78,26,100
188,178,-173,188,178,0
-177,116,138,0,116,138
34,30,22,34,30,22
89,36,123,89,36,123
-86,103,-70,0,103,0
-181,44,128,0,44,128
64,127,-38,64,127,0
-43,-66,-9,0,0,0
-135,-183,176,0,0,176
-104,-12,-136,0,0,0
-179,-175,-142,0,0,0
-9,-90,-166,0,0,0
74,189,33,74,189,33
72,-133,110,72,0,110
11,-175,-146,11,0,0
102,86,100,102,86,100
-173,-103,74,0,0,74
-130,97,-152,0,97,0
178,53,61,178,53,61
54,194,-34,54,194,0
197,-25,156,197,0,156
24,-79,43,24,0,43
-37,-138,17,0,0,17
-152,104,103,0,104,103
-57,0,7,0,0,7
-36,-105,-149,0,0,0
19,-136,-126,19,0,0
195,185,-97,195,185,0
162,65,-5,162,65,0
105,-140,-153,105,0,0
74,160,-108,74,160,0
-93,193,-161,0,193,0
-179,145,-110,0,145,0
16,62,195,16,62,195
23,-21,97,23,0,97
150,-60,-8,150,0,0
-97,-30,63,0,0,63
-91,71,145,0,71,145
190,198,80,190,198,80
96,107,-19,96,107,0
64,22,81,64,22,81
-151,-163,-80,0,0,0
66,165,-170,66,165,0
-100,169,-22,0,169,0
64,86,138,64,86,138
83,50,71,83,50,71
3,3,54,3,3,54
-26,112,-97,0,112,0
2,194,-92,2,194,0
51,-159,70,51,0,70
107,-112,-144,107,0,0
-35,36,-151,0,36,0
20,1,50,20,1,50
-3,62,-29,0,62,0
62,189,153,62,189,153
123,-97,-154,123,0,0
104,109,-14,104,109,0
63,69,198,63,69,198
-133,-12,119,0,0,119
-118,-172,-101,0,0,0
110,51,99,110,51,99
43,-135,-10,43,0,0
151,0,-23,151,0,0
46,77,-157,46,77,0
-1,127,-162,0,127,0
36,70,-12,36,70,0
38,26,25,38,26,25
104,-174,-139,104,0,0
57,111,72,57,111,72
76,-158,-44,76,0,0
-71,11,199,0,11,199
-135,169,-134,0,169,0
-175,-19,14,0,0,14
3,-42,197,3,0,197
-169,-197,127,0,0,127
139,-188,-197,139,0,0
27,-115,-82,27,0,0
15,-138,78,15,0,78
88,168,21,88,168,21
78,-150,151,78,0,151
-31,28,-131,0,28,0
47,75,39,47,75,39
-111,63,82,0,63,82
-43,75,61,0,75,61
38,149,-115,38,149,0
-102,-5,-97,0,0,0
-148,72,-76,0,72,0
-163,192,101,0,192,101
-116,-147,-154,0,0,0
174,-185,8,174,0,8
-182,-73,-59,0,0,0
193,-192,171,193,0,171
-100,-123,138,0,0,138
-190,26,63,0,26,63
129,54,-86,129,54,0
181,-22,42,181,0,42
-52,172,29,0,172,29
-185,100,158,0,100,158
-111,-52,-71,0,0,0
-141,34,138,0,34,138
-17,146,57,0,146,57
27,-31,-23,27,0,0
113,82,10,113,82,10
154,194,138,154,194,138
142,-19,166,142,0,166
-3,-70,-101,0,0,0
57,33,181,57,33,181
-26,124,43,0,124,43
102,184,-25,102,184,0
-31,-173,-200,0,0,0
2,-163,-80,2,0,0
-91,36,-173,0,36,0
-74,144,66,0,144,66
199,-130,-196,199,0,0
-136,-42,124,0,0,124
-184,27,37,0,27,37
38,32,-60,38,32,0
-129,-1,-117,0,0,0
57,-103,135,57,0,135
149,-38,-102,149,0,0
107,-55,39,107,0,39
-130,191,122,0,191,122
-82,97,-18,0,97,0
123,-187,30,123,0,30
-182,9,125,0,9,125
50,-150,-183,50,0,0
65,-199,71,65,0,71
41,-27,-101,41,0,0
198,-150,34,198,0,34
40,183,-151,40,183,0
-164,45,-167,0,45,0
-23,102,10,0,102,10
-35,69,-200,0,69,0
-185,-16,136,0,0,136
26,83,58,26,83,58
180,81,175,180,81,175
147,4,-104,147,4,0
-180,-33,166,0,0,166
-193,-55,30,0,0,30
54,46,167,54,46,167
-119,-84,-69,0,0,0
-69,-12,-193,0,0,0
120,171,-171,120,171,0
41,54,44,41,54,44
31,29,-195,31,29,0
67,-173,-187,67,0,0
-55,120,10,0,120,10
24,-189,109,24,0,109
-89,34,93,0,34,93
70,60,132,70,60,132
104,-195,48,104,0,48
169,190,139,169,190,139
-107,-172,-143,0,0,0
41,-62,119,41,0,119
147,-7,-193,147,0,0
175,-32,138,175,0,138
-145,-67,100,0,0,100
-17,-123,-40,0,0,0
-98,84,-108,0,84,0
-64,-196,-113,0,0,0
-118,-103,94,0,0,94
196,20,-146,196,20,0
-78,-78,-38,0,0,0
35,-147,164,35,0,164
104,157,-68,104,157,0
-164,50,174,0,50,174
57,35,-135,57,35,0
-140,-197,-142,0,0,0
-94,16,76,0,16,76
-192,161,-56,0,161,0
-4,-96,-173,0,0,0
-41,-59,-115,0,0,0
-128,-180,17,0,0,17
-164,119,-88,0,119,0
62,-178,-34,62,0,0
-79,23,-44,0,23,0
177,189,-163,177,189,0
48,36,-189,48,36,0
-57,70,-125,0,70,0
-39,140,184,0,140,184
-162,87,-135,0,87,0
57,21,-65,57,21,0
-41,101,-110,0,101,0
18,-58,-43,18,0,0
70,86,-157,70,86,0
-110,139,-15,0,139,0
-143,75,-108,0,75,0
-117,-147,-148,0,0,0
14,165,-190,14,165,0
-107,10,133,0,10,133
-168,-88,82,0,0,82
-69,-191,-16,0,0,0
10,159,-18,10,159,0
-117,-184,113,0,0,113
31,56,-39,31,56,0
174,-100,137,174,0,137
-49,-68,-157,0,0,0
181,39,-17,181,39,0
-23,-140,51,0,0,51
-148,53,-172,0,53,0
-160,163,8,0,163,8
-74,159,-56,0,159,0
43,-118,105,43,0,105
135,-162,-121,135,0,0
-97,-40,127,0,0,127
31,-194,-26,31,0,0
148,164,129,148,164,129
86,17,-29,86,17,0
146,-146,169,146,0,169
-56,163,-171,0,163,0
164,87,141,164,87,141
-147,5,-114,0,5,0
-160,80,-192,0,80,0
-106,-196,71,0,0,71
5,90,52,5,90,52
120,-136,40,120,0,40
-114,116,66,0,116,66
-70,-102,-23,0,0,0
-41,-199,-127,0,0,0
81,143,97,81,143,97
90,42,-148,90,42,0
32,-42,-153,32,0,0
-55,-96,-121,0,0,0
-103,-25,-113,0,0,0
179,-79,54,179,0,54
187,189,-68,187,189,0
184,-20,-97,184,0,0
184,-78,38,184,0,38
164,-84,-14,164,0,0
-88,70,42,0,70,42
-189,-91,-84,0,0,0
-26,-171,-55,0,0,0
-196,-87,-74,0,0,0
60,21,34,60,21,34
-51,166,126,0,166,126
15,53,-184,15,53,0
-19,142,-177,0,142,0
6,185,177,6,185,177
-62,-30,191,0,0,191
62,2,-108,62,2,0
158,78,26,158,78,26
-179,70,-21,0,70,0
143,-74,-46,143,0,0
-97,169,-167,0,169,0
-70,16,186,0,16,186
-191,160,-87,0,160,0
15,-125,-131,15,0,0
-7,-106,-41,0,0,0
-67,6,37,0,6,37
-153,88,-141,0,88,0
-88,-156,-94,0,0,0
-96,180,193,0,180,193
-110,-6,150,0,0,150
-190,-121,-22,0,0,0
-25,-41,189,0,0,189
7,93,21,7,93,21
-13,118,-79,0,118,0
-191,-27,0,0,0,0
97,118,-149,97,118,0
-3,23,-125,0,23,0
-148,88,16,0,88,16
42,108,43,42,108,43
-68,24,-135,0,24,0
-92,185,-177,0,185,0
100,140,-117,100,140,0
-35,-114,-11,0,0,0
-111,153,132,0,153,132
156,-183,78,156,0,78
-168,82,103,0,82,103
-54,24,-65,0,24,0
-22,51,-3,0,51,0
196,175,-89,196,175,0
39,115,192,39,115,192
173,-92,-91,173,0,0
30,46,172,30,46,172
31,-87,-108,31,0,0
153,67,106,153,67,106
-121,133,46,0,133,46
-100,131,-104,0,131,0
15,-76,167,15,0,167
149,-195,-86,149,0,0
-190,114,-178,0,114,0
-98,-153,25,0,0,25
133,-149,181,133,0,181
166,-60,-134,166,0,0
68,-178,-169,68,0,0
73,140,-23,73,140,0
-172,-102,185,0,0,185
151,68,172,151,68,172
-67,192,-95,0,192,0
-49,-48,-40,0,0,0
36,-141,59,36,0,59
-6,-34,67,0,0,67
93,-105,79,93,0,79
-147,174,130,0,174,130
114,-74,-186,114,0,0
100,174,165,100,174,165
104,183,62,104,183,62
-30,182,188,0,182,188
158,162,196,158,162,196
-193,29,40,0,29,40
-8,158,-23,0,158,0
14,-115,170,14,0,170
76,21,-199,76,21,0
-110,81,184,0,81,184
-58,-199,-149,0,0,0
181,197,16,181,197,16
-178,183,162,0,183,162
143,-53,186,143,0,186
97,4,174,97,4,174
-135,-36,177,0,0,177
56,-104,53,56,0,53
93,-142,-105,93,0,0
58,86,180,58,86,180
-186,-96,190,0,0,190
-140,154,187,0,154,187
44,-124,-10,44,0,0
127,58,171,127,58,171
-177,-67,101,0,0,101
-76,68,-199,0,68,0
153,198,3,153,198,3
-198,-172,-10,0,0,0
124,-64,118,124,0,118
-199,100,138,0,100,138
159,-164,-25,159,0,0
-88,-98,105,0,0,105
106,-148,-117,106,0,0
-50,158,36,0,158,36
43,-179,4,43,0,4
143,91,-21,143,91,0
-10,64,-77,0,64,0
-25,-165,86,0,0,86
134,29,154,134,29,154
-106,-38,-47,0,0,0
170,-24,148,170,0,148
-39,135,-38,0,135,0
-88,177,-42,0,177,0
-200,-78,-174,0,0,0
90,-128,-200,90,0,0
69,-28,-43,69,0,0
187,-129,98,187,0,98
140,116,-161,140,116,0
-153,161,174,0,161,174
88,113,-183,88,113,0
38,-141,-109,38,0,0
-55,46,88,0,46,88
85,-122,-168,85,0,0
177,19,-154,177,19,0
152,-99,1,152,0,1
-16,152,-125,0,152,0
74,169,56,74,169,56
194,59,-131,194,59,0
22,132,-179,22,132,0
-142,-38,-38,0,0,0
6,-75,-149,6,0,0
-117,-77,-107,0,0,0
-56,-147,20,0,0,20
41,79,-21,41,79,0
8,177,24,8,177,24
190,-52,-158,190,0,0
-76,-51,-53,0,0,0
114,-73,87,114,0,87
197,-162,-120,197,0,0
139,107,116,139,107,116
76,112,-38,76,112,0
29,103,-15,29,103,0
89,-134,-128,89,0,0
-158,-186,-62,0,0,0
22,-126,178,22,0,178
-1,-144,-39,0,0,0
-166,-55,63,0,0,63
-147,-142,-147,0,0,0
74,-74,86,74,0,86
-62,-194,21,0,0,21
82,-18,35,82,0,35
25,-16,83,25,0,83
-5,-147,103,0,0,103
-55,-70,-122,0,0,0
158,73,-85,158,73,0
-145,-115,154,0,0,154
-140,-161,-84,0,0,0
-189,64,-34,0,64,0
-14,-53,17,0,0,17
164,-54,122,164,0,122
-179,9,-87,0,9,0
-137,30,111,0,30,111
-118,53,96,0,53,96
134,-159,-106,134,0,0
86,179,-54,86,179,0
-102,101,-138,0,101,0
-138,77,-178,0,77,0
-120,74,48,0,74,48
-36,-116,195,0,0,195
-96,72,106,0,72,106
167,-157,-22,167,0,0
158,-183,-31,158,0,0
77,-63,-67,77,0,0
54,-146,-6,54,0,0
0,101,24,0,101,24
89,-62,121,89,0,121
48,188,-74,48,188,0
45,98,-63,45,98,0
-52,-93,-179,0,0,0
-198,-37,28,0,0,28
1,-90,-57,1,0,0
117,-31,168,117,0,168
105,-104,88,105,0,88
-170,-194,75,0,0,75
12,16,113,12,16,113
-112,-9,-5,0,0,0
-111,-56,-177,0,0,0
-76,-12,-138,0,0,0
121,-54,-20,121,0,0
130,-110,159,130,0,159
-142,83,-73,0,83,0
110,-91,39,110,0,39
98,-122,-182,98,0,0
-79,127,70,0,127,70
-19,80,-86,0,80,0
-9,-120,-19,0,0,0
-154,151,122,0,151,122
-2,-124,85,0,0,85
-49,36,-50,0,36,0
164,52,12,164,52,12
49,8,-79,49,8,0
103,-122,-72,103,0,0
-142,149,42,0,149,42
2,-150,-89,2,0,0
140,109,186,140,109,186
-52,-100,-176,0,0,0
80,-79,-191,80,0,0
116,91,30,116,91,30
-24,172,16,0,172,16
-45,71,-78,0,71,0
-115,179,147,0,179,147
-196,-104,161,0,0,161
192,-84,192,192,0,192
-52,-122,183,0,0,183
-68,123,55,0,123,55
-166,-115,69,0,0,69
177,133,94,177,133,94
153,170,-148,153,170,0
-99,-129,-152,0,0,0
33,88,-173,33,88,0
-182,148,-197,0,148,0
104,25,99,104,25,99
-153,182,92,0,182,92
165,-93,193,165,0,193
170,190,-147,170,190,0
80,118,-46,80,118,0
74,100,116,74,100,116
-97,-103,-193,0,0,0
89,-181,17,89,0,17
138,175,-193,138,175,0
-134,120,37,0,120,37
151,-124,-109,151,0,0
88,37,-168,88,37,0
113,-126,52,113,0,52
-75,-64,-69,0,0,0
-127,54,198,0,54,198
-160,157,-61,0,157,0
149,-123,-177,149,0,0
146,194,23,146,194,23
-186,-165,-82,0,0,0
71,12,-50,71,12,0
114,135,-155,114,135,0
109,-2,194,109,0,194
-186,-127,185,0,0,185
47,-72,135,47,0,135
-103,146,6,0,146,6
-91,23,56,0,23,56
-37,102,19,0,102,19
3,-41,132,3,0,132
-96,145,-63,0,145,0
72,134,22,72,134,22
85,-162,-176,85,0,0
149,100,94,149,100,94
54,-11,-142,54,0,0
-119,58,-6,0,58,0
175,-114,121,175,0,121
-149,-185,-80,0,0,0
-137,-98,-169,0,0,0
-178,-142,-135,0,0,0
124,143,68,124,143,68
167,85,-177,167,85,0
-63,42,73,0,42,73
-122,127,169,0,127,169
-18,-172,-29,0,0,0
20,-159,165,20,0,165
140,-161,-156,140,0,0
104,37,-194,104,37,0
198,-189,-94,198,0,0
38,114,-9,38,114,0
-35,-54,-175,0,0,0
169,-180,57,169,0,57
64,-147,-106,64,0,0
63,173,-141,63,173,0
